  
       XFOIL         Version 6.99
  
 Calculated polar for: AG12                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.028 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4217   0.05958   0.05086  -0.0223   1.0000   0.2312
  -4.000  -0.2981   0.03881   0.02832  -0.0406   1.0000   0.2160
  -3.000  -0.1846   0.02743   0.01603  -0.0399   1.0000   0.3794
  -2.000  -0.0699   0.01859   0.00765  -0.0342   1.0000   1.0000
  -1.000   0.0384   0.01850   0.00558  -0.0352   1.0000   1.0000
   0.000   0.1380   0.01883   0.00507  -0.0345   1.0000   1.0000
   1.000   0.2321   0.01971   0.00576  -0.0338   1.0000   1.0000
   2.000   0.3174   0.02178   0.00802  -0.0347   1.0000   1.0000
   3.000   0.3857   0.02646   0.01317  -0.0398   1.0000   1.0000
   4.000   0.6803   0.03265   0.02158  -0.0743   0.7691   1.0000
   5.000   0.7768   0.03613   0.02564  -0.0568   0.5593   1.0000
   6.000   0.8565   0.04342   0.03334  -0.0435   0.3826   1.0000
   7.000   0.9226   0.05769   0.04847  -0.0387   0.2739   1.0000
   8.000   0.9184   0.08420   0.07584  -0.0510   0.2569   1.0000
   9.000   0.7771   0.11996   0.11071  -0.1023   0.6005   1.0000
  10.000   0.8117   0.13887   0.12986  -0.1019   0.5239   1.0000
