  
       XFOIL         Version 6.99
  
 Calculated polar for: AG12                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.100 (top)        0.100 (bottom)  
 Mach =   0.000     Re =     0.028 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3822   0.04978   0.03719  -0.0396   0.1000   0.1000
  -4.000  -0.2606   0.03397   0.01839  -0.0444   0.1000   0.1000
  -3.000  -0.1453   0.02681   0.00910  -0.0424   0.1000   0.1000
  -2.000  -0.0346   0.02556   0.00613  -0.0418   0.1000   0.1000
  -1.000   0.0748   0.02513   0.00460  -0.0411   0.1000   0.1000
   0.000   0.1835   0.02513   0.00400  -0.0405   0.1000   0.1000
   1.000   0.2916   0.02546   0.00417  -0.0398   0.1000   0.1000
   2.000   0.3986   0.02609   0.00506  -0.0390   0.1000   0.1000
   3.000   0.5043   0.02705   0.00668  -0.0381   0.1000   0.1000
   4.000   0.6084   0.02844   0.00904  -0.0370   0.1000   0.1000
   5.000   0.7100   0.03042   0.01248  -0.0357   0.1000   0.1000
   6.000   0.8073   0.03334   0.01728  -0.0340   0.1000   0.1000
   7.000   0.8958   0.03881   0.02486  -0.0313   0.1000   0.1000
   8.000   0.9839   0.05491   0.04335  -0.0274   0.1000   0.1000
   9.000   0.9923   0.07977   0.07024  -0.0304   0.1000   0.1000
  10.000   0.9359   0.10658   0.09735  -0.0454   0.1000   0.1000
