  
       XFOIL         Version 6.99
  
 Calculated polar for: E61  (5.64%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.028 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.3512   0.10040   0.09314   0.0020   1.0000   0.3828
  -3.000  -0.3481   0.08899   0.08214   0.0135   1.0000   0.5013
  -2.000  -0.0232   0.05191   0.04405  -0.0186   1.0000   0.9959
  -1.000  -0.1433   0.05182   0.04469   0.0130   1.0000   0.9476
   0.000  -0.2646   0.04974   0.04330   0.0406   1.0000   0.8921
   1.000   0.4430   0.04495   0.03177  -0.1371   1.0000   0.1871
   3.000   0.6370   0.04955   0.03544  -0.1403   1.0000   1.0000
   4.000   0.6984   0.05654   0.04254  -0.1404   1.0000   1.0000
   5.000   0.7505   0.06515   0.05131  -0.1413   1.0000   1.0000
   6.000   0.7931   0.07570   0.06228  -0.1434   1.0000   1.0000
   7.000   0.9383   0.08747   0.07505  -0.1625   0.8665   1.0000
   9.000   1.2845   0.06428   0.05195  -0.1199   0.0900   1.0000
  10.000   1.4036   0.08135   0.07067  -0.1159   0.0685   1.0000
