  
       XFOIL         Version 6.99
  
 Calculated polar for: E61  (5.64%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.100 (top)        0.100 (bottom)  
 Mach =   0.000     Re =     0.028 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0963   0.08915   0.07693  -0.0736   0.1000   0.1000
  -4.000  -0.0335   0.07682   0.06464  -0.0840   0.1000   0.1000
  -3.000   0.0791   0.06269   0.05019  -0.1032   0.1000   0.1000
  -2.000   0.2600   0.04806   0.03375  -0.1323   0.1000   0.1000
  -1.000   0.4518   0.03788   0.02114  -0.1553   0.1000   0.1000
   0.000   0.5895   0.03284   0.01359  -0.1598   0.1000   0.1000
   1.000   0.7035   0.03223   0.01159  -0.1603   0.1000   0.1000
   2.000   0.7969   0.03360   0.01249  -0.1580   0.1000   0.1000
   3.000   0.8863   0.03538   0.01437  -0.1553   0.1000   0.1000
   4.000   0.9715   0.03754   0.01678  -0.1522   0.1000   0.1000
   5.000   1.0515   0.04018   0.02001  -0.1484   0.1000   0.1000
   6.000   1.1265   0.04334   0.02412  -0.1443   0.1000   0.1000
   7.000   1.1983   0.04740   0.03111  -0.1388   0.1000   0.1000
   8.000   1.2616   0.05242   0.03828  -0.1326   0.1000   0.1000
   9.000   1.2895   0.06513   0.05217  -0.1203   0.0886   0.1000
  10.000   1.4075   0.08223   0.07107  -0.1163   0.0684   0.1000
