  
       XFOIL         Version 6.99
  
 Calculated polar for: Ishii                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.028 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4140   0.05016   0.04070  -0.0326   1.0000   0.2160
  -4.000  -0.2992   0.03668   0.02639  -0.0362   1.0000   0.3578
  -3.000  -0.2374   0.02905   0.01863  -0.0180   1.0000   0.6507
  -2.000  -0.1617   0.02222   0.01155  -0.0076   1.0000   0.8390
  -1.000   0.0176   0.01933   0.00739  -0.0302   1.0000   1.0000
   0.000   0.1501   0.01969   0.00657  -0.0389   1.0000   1.0000
   1.000   0.2562   0.02054   0.00722  -0.0400   1.0000   1.0000
   2.000   0.3529   0.02213   0.00919  -0.0403   1.0000   1.0000
   3.000   0.5980   0.02566   0.01436  -0.0683   0.7547   1.0000
   4.000   0.6946   0.03197   0.01999  -0.0586   0.5241   1.0000
   5.000   0.7990   0.04207   0.03098  -0.0594   0.4446   1.0000
   6.000   0.8796   0.05527   0.04534  -0.0613   0.3695   1.0000
   7.000   0.9225   0.07755   0.06843  -0.0674   0.3450   1.0000
   9.000   0.7733   0.12687   0.11740  -0.1154   0.6660   1.0000
  10.000   0.8385   0.15059   0.14143  -0.1148   0.5451   1.0000
