  
       XFOIL         Version 6.99
  
 Calculated polar for: Ishii                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.100 (top)        0.100 (bottom)  
 Mach =   0.000     Re =     0.028 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3723   0.03696   0.02205  -0.0471   0.1000   0.1000
  -4.000  -0.2515   0.02901   0.01215  -0.0477   0.1000   0.1000
  -3.000  -0.1356   0.02746   0.00879  -0.0483   0.1000   0.1000
  -2.000  -0.0218   0.02674   0.00675  -0.0485   0.1000   0.1000
  -1.000   0.0908   0.02649   0.00558  -0.0484   0.1000   0.1000
   0.000   0.2021   0.02661   0.00532  -0.0482   0.1000   0.1000
   1.000   0.3124   0.02703   0.00575  -0.0478   0.1000   0.1000
   2.000   0.4216   0.02779   0.00676  -0.0473   0.1000   0.1000
   3.000   0.5295   0.02892   0.00857  -0.0467   0.1000   0.1000
   4.000   0.6358   0.03052   0.01114  -0.0458   0.1000   0.1000
   5.000   0.7398   0.03275   0.01475  -0.0447   0.1000   0.1000
   6.000   0.8403   0.03596   0.01953  -0.0433   0.1000   0.1000
   7.000   0.9363   0.04119   0.02686  -0.0417   0.1000   0.1000
   8.000   1.0215   0.05332   0.04130  -0.0400   0.1000   0.1000
   9.000   1.0355   0.07856   0.06864  -0.0413   0.1000   0.1000
  10.000   0.9754   0.10646   0.09700  -0.0516   0.1000   0.1000
