  
       XFOIL         Version 6.99
  
 Calculated polar for: S1091                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.028 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2774   0.09429   0.08624  -0.0121   1.0000   0.2642
  -4.000  -0.2610   0.08436   0.07677  -0.0077   1.0000   0.3239
  -3.000  -0.2550   0.07382   0.06677   0.0011   1.0000   0.4369
  -2.000  -0.2848   0.06047   0.05401   0.0293   1.0000   0.6609
  -1.000  -0.2422   0.04543   0.03932   0.0443   1.0000   0.8613
   0.000  -0.2262   0.03856   0.03278   0.0437   1.0000   0.8753
   1.000   0.3600   0.03925   0.02858  -0.0916   1.0000   0.2276
   2.000   0.4800   0.03420   0.02412  -0.0944   1.0000   1.0000
   3.000   0.5578   0.03997   0.02733  -0.0959   1.0000   1.0000
   4.000   0.6293   0.04802   0.03492  -0.1012   0.9878   1.0000
   5.000   0.8252   0.05760   0.04456  -0.1247   0.8514   1.0000
   6.000   0.9993   0.06253   0.05037  -0.1309   0.6998   1.0000
   7.000   1.2344   0.05104   0.03971  -0.1156   0.4845   1.0000
   8.000   1.2917   0.05983   0.04962  -0.1042   0.3650   1.0000
   9.000   1.2371   0.08374   0.07405  -0.1001   0.3382   1.0000
  10.000   1.1357   0.11823   0.10837  -0.1110   0.3421   1.0000
