  
       XFOIL         Version 6.99
  
 Calculated polar for: S1091                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.100 (top)        0.100 (bottom)  
 Mach =   0.000     Re =     0.028 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1248   0.08613   0.07377  -0.0525   0.1000   0.1000
  -4.000  -0.0487   0.07457   0.06215  -0.0635   0.1000   0.1000
  -3.000   0.0564   0.06254   0.04983  -0.0777   0.1000   0.1000
  -2.000   0.1931   0.05057   0.03714  -0.0943   0.1000   0.1000
  -1.000   0.3487   0.03965   0.02471  -0.1087   0.1000   0.1000
   0.000   0.4979   0.03207   0.01446  -0.1147   0.1000   0.1000
   1.000   0.6141   0.02891   0.00957  -0.1126   0.1000   0.1000
   2.000   0.7135   0.02959   0.00940  -0.1100   0.1000   0.1000
   3.000   0.8091   0.03084   0.01038  -0.1072   0.1000   0.1000
   4.000   0.9007   0.03252   0.01221  -0.1042   0.1000   0.1000
   5.000   0.9875   0.03468   0.01496  -0.1008   0.1000   0.1000
   6.000   1.0686   0.03741   0.01836  -0.0970   0.1000   0.1000
   7.000   1.1424   0.04088   0.02276  -0.0927   0.1000   0.1000
   8.000   1.2060   0.04527   0.02914  -0.0877   0.1000   0.1000
   9.000   1.2552   0.05112   0.03629  -0.0820   0.1000   0.1000
  10.000   1.2919   0.05906   0.04557  -0.0765   0.1000   0.1000
