  
       XFOIL         Version 6.99
  
 Calculated polar for: SD7003-085-88                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.028 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4401   0.04729   0.03735  -0.0252   1.0000   0.2620
  -4.000  -0.3535   0.03444   0.02371  -0.0244   1.0000   0.3439
  -3.000  -0.2682   0.02577   0.01534  -0.0165   1.0000   0.5590
  -2.000  -0.0914   0.02052   0.00940  -0.0232   1.0000   1.0000
  -1.000  -0.0336   0.02015   0.00784  -0.0181   1.0000   1.0000
   0.000   0.0399   0.02078   0.00782  -0.0154   1.0000   1.0000
   1.000   0.1091   0.02250   0.00921  -0.0142   1.0000   1.0000
   2.000   0.1686   0.02578   0.01243  -0.0154   1.0000   1.0000
   3.000   0.3160   0.03281   0.01986  -0.0360   0.9352   1.0000
   4.000   0.5579   0.03889   0.02689  -0.0578   0.7458   1.0000
   5.000   0.6684   0.04479   0.03337  -0.0539   0.6074   1.0000
   6.000   0.7504   0.05290   0.04263  -0.0473   0.4954   1.0000
   7.000   0.7848   0.06712   0.05725  -0.0455   0.4223   1.0000
   8.000   0.7886   0.08466   0.07492  -0.0477   0.3747   1.0000
   9.000   0.6410   0.11278   0.10184  -0.0786   0.6807   1.0000
  10.000   0.6873   0.12903   0.11900  -0.0800   0.5942   1.0000
