  
       XFOIL         Version 6.99
  
 Calculated polar for: SD7003-085-88                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.100 (top)        0.100 (bottom)  
 Mach =   0.000     Re =     0.028 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3809   0.03479   0.01842  -0.0357   0.1000   0.1000
  -4.000  -0.2816   0.02972   0.01191  -0.0330   0.1000   0.1000
  -3.000  -0.1791   0.02786   0.00894  -0.0316   0.1000   0.1000
  -2.000  -0.0746   0.02695   0.00716  -0.0303   0.1000   0.1000
  -1.000   0.0309   0.02654   0.00589  -0.0293   0.1000   0.1000
   0.000   0.1362   0.02653   0.00550  -0.0283   0.1000   0.1000
   1.000   0.2410   0.02683   0.00572  -0.0273   0.1000   0.1000
   2.000   0.3448   0.02743   0.00656  -0.0262   0.1000   0.1000
   3.000   0.4473   0.02836   0.00780  -0.0251   0.1000   0.1000
   4.000   0.5479   0.02966   0.00968  -0.0239   0.1000   0.1000
   5.000   0.6457   0.03143   0.01230  -0.0225   0.1000   0.1000
   6.000   0.7394   0.03391   0.01662  -0.0207   0.1000   0.1000
   7.000   0.8271   0.03729   0.02136  -0.0189   0.1000   0.1000
   8.000   0.9052   0.04224   0.02782  -0.0167   0.1000   0.1000
   9.000   0.9676   0.05034   0.03744  -0.0139   0.1000   0.1000
  10.000   0.9965   0.06636   0.05556  -0.0123   0.1000   0.1000
